B;G;R
40.4444;51.4444;74.3333
105.333;106.556;154.778
119;90;56.4444
37.1111;69;51.5556
138.778;97.8889;96.3333
144;148.778;67.4444
9.33333;91.2222;159.667
132.889;63.6667;38.6667
61.7778;55.1111;157.667
60.8889;36.7778;61.6667
46.4444;144.444;107.889
1.11111;120.556;157.444
107.889;42.4444;13.8889
58.7778;111.222;46.2222
39.2222;32.6667;145.556
14.2222;155.778;172.444
112;61.7778;166.333
145.889;98;18.3333
199.556;201.889;197.222
164.222;167.556;161.556
129.889;131.333;124.889
85.3333;88.7778;82.2222
50.1111;52.7778;48.1111
21;22.1111;19.4444
