B;G;R
33.8889;47.5556;69.4444
94;101.778;151.667
102.556;79.4444;54
32.1111;62.6667;49.6667
127.333;90;96.6667
129.667;139.889;68.2222
8.55556;85.4444;156.444
120.778;57.7778;37.4444
51.4444;51.3333;154.778
53.2222;35.1111;60.5556
39.1111;136.444;105.111
1.22222;113.333;153.889
95.8889;38.5556;13.6667
52.2222;104.444;45.7778
33.4444;30.1111;140.778
10.6667;148.444;170.778
102.778;58.1111;164.222
131.889;91.3333;19.1111
189;195;195
154.778;160;158.667
121.111;125;121.667
79.1111;84.4444;79.3333
43;48.2222;45.7778
18.6667;20.2222;19.1111
