B;G;R
41;55.2222;80.1111
110.889;111.889;163.889
126.111;95.7778;61.1111
37.3333;73.1111;55.5556
147.333;104.444;103.444
150.444;156.556;73.7778
10.8889;96.7778;166.556
137.222;69;43.4444
63.1111;58.3333;165.556
66.3333;41.1111;69.5556
49.3333;153.222;116.444
3.66667;128.444;166.111
116.556;45;15.1111
62.6667;118.778;50.1111
42.2222;35.7778;155.444
16.8889;164.556;180.333
117;65.6667;174.778
154.333;105.556;19
206.778;209.667;206.667
171.667;174.444;169.333
134.444;137.778;131.667
92.5556;95.8889;90.7778
54.1111;58;52.7778
23.3333;23.6667;21.5556
