B;G;R
53.2222;71.5556;105.667
129.111;136.667;194.333
149.111;119;83.5556
46.6667;96.8889;74.7778
173;126.111;129.778
177.556;186.667;98.6667
13.1111;120.778;198.778
168;91.4444;60.6667
78.3333;76.6667;193.889
87.5556;52.7778;94.6667
67.8889;183.333;144.444
12.8889;157.556;197.444
143.889;63.8889;22.5556
86.8889;146.667;70.2222
53.4444;50.7778;188
32.6667;189.444;207.333
142.667;85.6667;207
183.444;133.778;30.3333
228.444;230.778;230.111
202.444;206.889;205.222
161.556;167.444;161.889
113.889;120.667;116.889
74.6667;77.1111;71.8889
32.7778;34.5556;31
