B;G;R
36.6667;52.3333;77.6667
100.667;106;158.556
111.889;86.3333;60.4444
33.5556;68.7778;53.1111
133.778;95.6667;102.778
136.444;149.111;73.1111
7.44444;92;164.556
130;63.2222;42
55.7778;56.1111;163.333
57.2222;38.2222;67.2222
42.1111;144.333;113.111
0.222222;119.667;161.444
106.333;43.5556;15.2222
58.1111;110.889;48.6667
36.2222;33.2222;151.889
14.6667;157.444;178.222
109.111;63.4444;172.889
141.333;97.6667;21
196.889;203.444;203
163.889;169.556;167.111
126.778;130.778;128.111
83;91;87.3333
49;53;50.3333
19.5556;22.1111;20.2222
