B;G;R
23.8889;33.1111;54.5556
66.3333;72.6667;133.889
75.7778;61.7778;50
21.7778;44.4444;38.8889
93.3333;66.7778;84.6667
97;112.778;61
6.66667;57.8889;138.556
82.3333;43.2222;35.4444
37;32.6667;134.222
34.7778;24.8889;47.1111
20.7778;106.778;92.5556
0.444444;82.4444;136.778
60.2222;28.6667;16.8889
33.4444;73.1111;39.6667
24.3333;17.7778;122.222
0.333333;112.556;149.444
70.1111;36.7778;140.333
95.4444;66.1111;21.4444
139.333;153;169.222
112.222;123.333;135.333
84.7778;93.6667;102.889
50.8889;59.6667;63.1111
28.6667;33;32.8889
11.6667;12.5556;12.5556
