B;G;R
32.5556;47.3333;69
93.6667;100.333;150
103.667;82.1111;56.5556
30.4444;62;48.3333
125.444;88.7778;93.8889
127.667;139.667;66.7778
8.55556;83.3333;156.778
119.556;58.4444;38.3333
51.2222;51.2222;153.222
52.1111;34.8889;59.7778
35.8889;136.444;104.333
2.44444;111.667;152.333
93.6667;38.4444;14.7778
51.7778;103.333;44.7778
34.2222;29.7778;140.111
8.66667;147.222;168.556
103.778;57.3333;162.444
132.667;90;19.7778
187.111;194.556;193.333
155;160;159
117.556;124.222;120.333
76.6667;82.4444;78.5556
43.8889;48.1111;44.8889
18.8889;19.6667;18.1111
