B;G;R
31.1111;41;58.3333
81.6667;89.4444;135.222
94.5556;71.4444;49.4444
29.2222;54.4444;41.8889
111.778;77;81
117.556;127.556;55.4444
9.44444;74.5556;141.222
105.778;49.6667;32.8889
47.1111;43.7778;136.222
45.2222;29.5556;51.1111
35.3333;123;91.5556
1.33333;100.222;137.556
81;32.1111;12.5556
45.6667;88.1111;39
31.8889;26.5556;126
5.55556;132.444;152.333
89.5556;49.5556;146.556
120.778;78.5556;17
171.556;176.556;176.111
137;143.222;140.444
105.444;111.222;106.889
65.7778;72.2222;67.6667
37.7778;41.4444;39.1111
15.4444;16.8889;14.8889
