B;G;R
21.5556;30.1111;49.3333
63.3333;70.7778;131.667
72.3333;60.2222;48.8889
21.1111;43.2222;38
89;65.1111;82.1111
96.5556;109.444;60.6667
8.88889;54.8889;135.778
80.1111;42.2222;34.3333
35.2222;32.2222;130.333
34.6667;24.2222;46.4444
23.5556;104.778;90.6667
0;80.1111;136.222
56.6667;27.7778;16
32.8889;71.6667;37.7778
23.1111;17.4444;119.111
1;109.889;147.889
69.2222;35;137.667
92.7778;64.7778;20.6667
137.444;150.333;166.556
110.333;121.333;132.333
81.5556;92.8889;101.444
49.1111;58.3333;61.5556
27.6667;32.3333;33
10.5556;11.6667;11.6667
