B;G;R
25.8889;34.4444;46.8889
69.4444;76.2222;121.222
78.1111;59.5556;41.7778
22.4444;44;33.2222
93.5556;66.3333;69.4444
99.3333;110.556;47.5556
10.8889;61.4444;125.778
87.6667;41.8889;28
37.3333;37.2222;121.556
34.8889;25.3333;40.2222
27.3333;106.556;77.8889
3.88889;85.3333;122.556
61.6667;27.3333;13.1111
36.8889;74.1111;32.2222
26.2222;22.1111;109.444
3.55556;117.444;137.444
74.3333;42.5556;129.333
102.556;64.1111;16
149.556;157.333;156
121.667;126.333;125
90.7778;96.4444;92.7778
57.1111;61;57.6667
29.1111;33.5556;29.3333
11.5556;12.3333;11.4444
