B;G;R
27.3333;36.7778;52.2222
70.1111;81.3333;126.333
75.5556;58.8889;40.4444
24.8889;46.1111;36.6667
100.444;70.5556;72.8889
107.556;119;55.3333
9.77778;66.5556;131.556
93.7778;44.7778;30.2222
40.2222;39.3333;128.556
38.1111;28.2222;44.7778
30.6667;113.111;85.5556
3;92.7778;131.778
70.6667;28.7778;12.3333
39.2222;79.3333;35.3333
28.4444;23;114.333
6.11111;121;142.778
82.5556;44;136.778
107.556;68.5556;16.2222
147.667;156.222;155.889
121.444;128.222;126.444
93.5556;96.5556;95
54.2222;60.6667;57.8889
29.7778;33.2222;30.6667
12;12.6667;12.4444
