B;G;R
35.6667;52.2222;76.4444
99.4444;105.444;157.556
114;88.3333;60.3333
33.2222;68.4444;53
133.889;95.1111;101.444
137.222;147.222;72.3333
8.88889;91.2222;164.222
127.778;62.3333;40.5556
56.8889;56.8889;163
59.6667;38;65.7778
39.1111;143.778;111.222
2.77778;118.444;161.667
104.222;42.4444;15.1111
55.7778;109.778;48.6667
37.1111;32.1111;148.778
11.8889;157.667;177.444
107.222;61.2222;170.889
141.444;97.4444;20.7778
196.222;202.889;202
162.222;167.444;166.333
124.778;132;126.778
81.7778;89.6667;85.8889
49.4444;51.2222;48.2222
20.6667;22.2222;20.6667
