B;G;R
31.6667;41.2222;56.2222
81;88;133.889
92.3333;71.3333;46.6667
26.1111;51.8889;40.5556
114.556;77;79.7778
117.778;126.333;55.7778
11.7778;74.6667;141
107.444;49.3333;31.8889
45;42.4444;133.111
45.3333;30.6667;50.1111
34.3333;122.889;91.2222
3.77778;101.778;138.667
82.8889;32.4444;12
45.2222;90.1111;37.1111
30.8889;27.3333;125.667
8.22222;127.889;148.778
91.5556;50;145.222
120.444;79.4444;16.8889
171.333;176.556;175.556
140.667;144.444;141.889
107.111;111;107.333
68.2222;71.8889;67.5556
36.4444;40.1111;37.4444
13.8889;15.8889;14
