B;G;R
35.1111;49;70.2222
94.6667;102.333;150.556
105.444;81;52.6667
29.5556;63.6667;48.4444
128.222;90.3333;96.5556
130;140.667;66.7778
7;86.8889;156
119.667;58.8889;37.4444
53.4444;52.2222;154.889
53;34.5556;58.8889
37.6667;137;105.667
1.66667;113.778;154.222
98.5556;39.3333;14
53.8889;104.889;46.2222
37.3333;31.3333;142
10.6667;149.667;169.778
103.333;57.5556;163
136.222;93.2222;19.7778
191;195.667;194.444
154.444;161.778;157.778
119.333;124.333;121.222
78.4444;84.3333;79.2222
44.1111;47.6667;44.4444
20;21;18.8889
