B;G;R
34;47.4444;70.3333
97.5556;102.778;151.333
112.111;84.4444;55.4444
29.7778;64.4444;48.7778
130.889;92.8889;95.7778
132.556;142.889;67.2222
7.22222;87.6667;156.889
123.444;60;37.6667
52.5556;50.5556;149.667
55.2222;35.4444;60.5556
40.5556;139.222;106.222
3.44444;115.444;154.444
96.1111;39.8889;14.7778
53.8889;106.667;45
38.7778;32.5556;143.778
10.7778;148.222;168.111
103.889;57.6667;162.889
137.667;93.8889;19.6667
192.111;195.556;194
159;161.889;159.667
121.444;126;122.444
78.3333;84.8889;79.8889
45.5556;50;45.7778
19.2222;20.1111;18.5556
