B;G;R
31.2222;43.1111;59
87.4444;92.3333;137.333
98.6667;73.6667;46.1111
27.5556;54.1111;41.3333
118.222;80.5556;81
121.889;130.667;57.2222
8.22222;75.4444;141.222
111.111;52.2222;32.7778
48.5556;44.6667;139.111
47.5556;32.8889;52
34.2222;125.333;92.7778
2.44444;103.778;139.222
87;33.3333;11.8889
47.2222;91.3333;39
31.6667;27.1111;127.778
7.77778;135.778;155.667
94.6667;50.5556;148.222
123.333;79.7778;15.3333
176.667;180;178.444
141.778;145.556;141.889
110.778;114.444;109.111
70.5556;73;69.1111
39.6667;42.3333;38.2222
15.5556;17.3333;15.6667
