B;G;R
33.7778;46.1111;80.6667
91.7778;97.6667;168.667
104.778;85.3333;70.3333
26.7778;64.3333;58
123.333;91.4444;115.111
129.889;142.111;88.1111
4.44444;79.8889;171.667
116.667;60;50.4444
50.5556;46.6667;170.222
50.5556;33.1111;70.5556
34.3333;137.667;122
0;110.111;171
92.4444;40.4444;22.1111
47;104.556;53.5556
30.8889;25.1111;157.556
4.77778;145.889;184.889
101.333;51.8889;177.778
130.556;94;27.7778
177.222;190.556;207.333
141.667;155.667;171.222
110.778;122.889;133.778
72.5556;82.5556;90.4444
42;49;50.6667
17.6667;19.7778;19.3333
