B;G;R
23.3333;32.3333;51.8889
68.8889;74.5556;134.111
77.6667;61.2222;48.8889
20.8889;43.6667;39.1111
94.7778;67.8889;83
99.6667;113.333;60.7778
7.88889;57;137.444
86.8889;42.7778;33.4444
37.1111;33.2222;132.778
36;25.4444;46.7778
25.1111;107.111;92.2222
0.111111;84;136.111
61;28.5556;15.7778
34.3333;75;37.6667
24.4444;18.8889;119
2.55556;112.778;150
72.2222;36.5556;139.222
97.3333;66.1111;20.2222
140.778;154.222;168.444
115.556;122.667;134
84.4444;94.7778;102.444
52.5556;59.1111;62.2222
27.3333;33.4444;33.1111
11.5556;12.4444;12.4444
