B;G;R
36.8889;52.3333;77
101.222;107.333;158.667
113;86.7778;57.2222
31.4444;69.4444;53.4444
134.778;96.1111;101.333
137.556;149.667;71.5556
7.77778;91.7778;162.889
130;63.8889;42.2222
56.4444;57.6667;162.556
58.4444;37.3333;66.6667
41.6667;145.444;110.778
1.11111;120.222;161.222
105;43.1111;15.1111
59;111.778;49.3333
40;33.8889;150.222
12.3333;158.222;176.444
110.333;62.8889;171.556
142.222;98.4444;21.8889
197.111;203.556;202.667
163.444;169.333;166.111
128.556;131.778;128.333
84.5556;89.7778;86.1111
47.6667;52.6667;49.4444
20.8889;22.2222;21
