B;G;R
35;48.7778;73.7778
99;102;154
109.889;84.7778;58.1111
32.2222;64.3333;51.7778
128.889;90.8889;97.8889
134;144;69.8889
8.33333;86;159
123.778;60.8889;41.2222
54.3333;50.7778;155.556
53.6667;35.7778;61.8889
41.2222;138;108.444
0.888889;115.778;158.222
97;39.8889;15.6667
50.3333;104.222;46.3333
36;30.4444;144.111
11.6667;149.667;171.222
103.556;59.1111;164.222
134.444;91.4444;20.2222
182.111;191.111;191
149.333;156.111;154.444
117.778;122.111;119.222
78.2222;82.8889;79.6667
43.6667;48.2222;45.3333
17.5556;18.7778;17.7778
