B;G;R
24.5556;36.4444;50.2222
71.4444;78.3333;125.111
83.1111;63;43.7778
24.8889;46.6667;36.2222
101;70.2222;75.4444
105.667;117.556;52.1111
10.2222;64.4444;130.222
89.7778;44.3333;30.3333
35.8889;37.7778;123.778
37.4444;27.2222;43.1111
28.6667;111.222;83.3333
3.44444;92.5556;130.333
66.8889;28.6667;13
40;77.3333;34.2222
26;21.2222;111.333
4.33333;119.222;140.333
77.7778;42.7778;134.111
105.333;67;17.1111
146.778;154;153.778
120;126;124.778
90.4444;96.3333;93.4444
53.7778;60.5556;58.2222
29;32.5556;29.4444
11.7778;12.4444;11.8889
