B;G;R
35.5556;47.1111;66.6667
97.3333;100.889;147.111
110.889;83.5556;52.4444
33.7778;63.2222;47.4444
132.111;90.4444;89.3333
131.111;139.889;60.8889
7.44444;84.4444;151.889
122.667;58;35.3333
53.8889;50.7778;147.889
54.1111;34.6667;58.2222
39.4444;135.444;102.333
3.33333;113;149.333
95.2222;38.2222;13.4444
51.5556;102.444;42.3333
32.2222;29.7778;137.333
7.88889;146.111;164.778
103.333;56.4444;156.333
134.778;89.6667;17.4444
188.111;192.333;189.556
154.111;156.778;151.111
120.556;123.444;117.778
78.3333;82.1111;75.2222
46;48.1111;44.1111
18;19.3333;17.4444
