B;G;R
30.6667;44.5556;79
87.6667;97.1111;167.778
104.444;85.3333;70.3333
31.1111;65.2222;58.2222
122.222;90.3333;114.667
128.444;141.444;86
5.22222;80.1111;172.222
116.222;58.6667;50
47.6667;46.1111;169.667
49.4444;33.5556;70.1111
32.4444;136.889;121.778
0;110.111;169.667
90.8889;38.6667;20.7778
46.5556;103.444;53
34.8889;25.3333;158
4.77778;143.556;184.111
97;49.8889;177.111
129;92;27
173.111;188.556;207
138.889;154.222;169.333
113.222;122.222;133.111
70.2222;81.6667;88.1111
40.8889;48.1111;51.4444
16.6667;20;19.4444
