B;G;R
30.8889;44.3333;79.4444
87.4444;97;167.444
102.889;84;69
28.4444;63.7778;58.3333
122.333;90.7778;115.333
126;142;85.7778
5.11111;81;172.222
116.444;59.3333;48.8889
50.5556;46.3333;169.222
54.1111;32.4444;70.8889
34.4444;137.889;121.556
0;110.111;170.111
92.1111;40.3333;22.6667
44.5556;102.556;53.4444
32;25;157.444
4.44444;144.667;183
98.3333;51.1111;177.444
131.444;93.2222;27.2222
173.556;187.889;207.333
139.667;154.889;169.111
111.778;121.778;132.667
68.2222;81.6667;87.5556
43;48.2222;51.1111
16.8889;19.7778;19.3333
