,B,G,R
0,38.0,55.75,94.0
1,102.75,112.0,181.5
2,127.25,100.0,80.75
3,43.25,84.75,68.0
4,140.5,116.0,132.75
5,144.25,158.0,92.25
6,2.75,95.25,183.0
7,133.5,68.75,54.0
8,60.25,58.75,181.75
9,69.0,48.5,83.25
10,51.5,141.5,123.25
11,0.5,124.75,179.5
12,110.75,47.75,22.25
13,56.5,120.75,59.25
14,39.75,34.25,170.75
15,19.5,162.75,189.75
16,120.0,66.0,177.75
17,142.75,105.75,29.25
18,199.25,207.75,217.5
19,166.75,172.5,183.5
20,126.25,134.25,140.75
21,80.0,93.0,93.25
22,52.75,66.25,59.75
23,22.25,23.75,23.25
