,B,G,R
0,27.75,38.5,63.5
1,79.5,87.0,144.75
2,91.25,73.0,54.75
3,31.25,54.5,53.75
4,106.75,75.75,99.0
5,110.25,122.25,63.5
6,8.25,68.75,147.5
7,101.25,49.5,37.75
8,48.25,39.25,143.0
9,48.5,30.0,53.75
10,34.25,126.25,112.0
11,0.25,94.75,144.25
12,78.25,32.0,15.25
13,40.0,87.75,41.25
14,31.0,23.25,132.25
15,13.5,126.25,150.75
16,75.0,50.75,143.75
17,110.25,72.25,19.5
18,164.25,170.75,181.0
19,127.0,137.25,142.25
20,99.0,104.0,109.25
21,61.75,68.75,67.0
22,48.75,56.25,34.75
23,12.5,13.5,13.0
