B;G;R
42.2222;52.4444;74.2222
90.8889;99.5556;159
103.556;84.8889;69.1111
34.4444;75.1111;66.8889
143.111;104.444;122
143.222;159.111;91.3333
4.88889;95;182.444
136.111;70.6667;54.7778
60.3333;58.2222;182.889
62;39.3333;82.2222
41.7778;151.778;129.333
2.11111;123.667;182
112.111;47.7778;22.2222
54.7778;120;59.4444
39.6667;32.8889;171
13.2222;162;196.111
112.667;62.6667;190.222
144.444;103.889;29.5556
198.667;206.889;216.444
163.111;171.444;180.778
126.444;133.889;141.111
83.1111;93;96.1111
47.7778;55;55.7778
20;23.1111;22
