B;G;R
42.3333;55.2222;88
105.889;113;181.333
125;99.3333;80.3333
34.7778;78.6667;68.8889
147.111;106.556;124.667
145.556;161.444;94.7778
9.11111;96.8889;186.111
138.889;71.7778;56.6667
62.2222;60.4444;185.889
65.2222;41.4444;84.3333
44.7778;154.444;132.667
1.88889;127.778;184.778
114.889;49;23.1111
59.3333;123.778;61.1111
41.2222;34.1111;174.222
16.4444;166.778;199.889
117.889;66.3333;192.889
147.889;105.667;29.8889
202.556;210.444;218.444
168.333;176;184.778
129.111;138.556;144.333
86.5556;97.2222;99.8889
50.7778;56.6667;57.6667
21.6667;23.6667;22.7778
