B;G;R
38.2222;54.1111;92.6667
103.333;110.222;179.556
122.556;97.1111;78.6667
36.1111;75.8889;68.1111
141.222;104.556;122.889
143.222;157.222;91.1111
10.6667;98.5556;183.444
137.222;69.7778;53.6667
62.1111;57.8889;182.111
66;39.8889;82.2222
45.5556;152.444;130
1;124.222;180.111
112.111;47.4444;21.8889
60.5556;118.889;61.1111
39.8889;33.1111;170.667
16;160.556;194.222
114.444;63.8889;189.778
144.111;103.444;28.4444
199.444;208.333;216.444
167.667;172.222;182.222
127.778;134;141.556
84.5556;93.5556;96.1111
49.6667;55.4444;56.4444
18.8889;21.6667;20.7778
