B;G;R
29.3333;33.1111;36
43.4444;47.8889;66
41.5556;38.4444;35.4444
28.1111;41.8889;38.3333
75.8889;57.3333;65.6667
99.8889;113.222;59.8889
7.55556;68.4444;146.444
100.778;48.7778;37
43;39.2222;143.556
44.1111;28.7778;52.8889
28.2222;119.667;98.4444
0.555556;95.2222;144.556
76.7778;33;15.1111
40.1111;84.3333;39.7778
28.8889;22.8889;130.778
3.88889;125.556;158.333
84;43.3333;151.111
113.333;74.2222;20.8889
161.667;171.111;179.667
130;137.556;143.667
98.3333;105.889;108.778
58.3333;66.5556;66.8889
32.2222;37.1111;36.1111
13.1111;14.1111;13.1111
