B;G;R
40.3333;54.3333;82.7778
106.778;112.222;179.889
123.111;96.8889;77.5556
33.8889;77.8889;67.2222
143.222;106;122.667
146.889;160;93.1111
6.77778;96.5556;185.222
136.778;71.2222;55
59.6667;58.3333;183.222
66;40.5556;84.5556
44.1111;156.667;131.667
0.555556;126.889;181
113.889;48.8889;22.1111
57.2222;120.444;58.2222
39.3333;33.1111;172.556
16.7778;165;198.667
116.778;63.7778;192.556
149.444;107;29.3333
202.778;211;218.333
168.778;174.778;184.333
130.444;136.333;143
86.8889;94.1111;98.8889
50.7778;53.5556;54.8889
22.8889;24;23.6667
