B;G;R
28.6667;38.3333;61
76.3333;83.1111;141.444
88.2222;69.7778;54.6667
23.5556;50.8889;43.7778
109.222;74.8889;90
108.444;122.889;64.5556
8.88889;68.7778;146.667
99.8889;48.1111;37.2222
43;38.5556;142.667
41.3333;28;52.5556
29.3333;118.111;98.8889
1.11111;94.4444;144.111
75.7778;31.6667;15.7778
40.4444;83.1111;39.3333
28.4444;21.6667;130.667
4.77778;122.333;157.556
82;41.6667;149.444
108.556;71.8889;20.3333
161;169.222;178.778
128.889;135.111;143.111
95.6667;104;107.667
57.6667;66.2222;68.4444
33.8889;36.4444;35.8889
12.6667;13.6667;13.6667
