,B,G,R
0,28.5,38.75,62.75
1,75.5,84.75,144.25
2,91.25,71.25,54.5
3,24.75,56.0,48.5
4,115.5,76.5,86.25
5,111.0,122.75,66.75
6,9.0,69.75,148.5
7,102.25,49.5,39.5
8,44.25,40.5,143.75
9,42.5,37.0,58.25
10,28.25,116.25,93.0
11,0.25,93.25,145.75
12,77.75,32.75,15.75
13,42.0,87.0,41.5
14,28.75,24.5,131.75
15,10.25,122.75,161.5
16,85.0,42.0,152.0
17,110.25,72.5,20.5
18,164.5,172.25,182.5
19,132.0,136.75,144.5
20,99.0,106.5,109.0
21,59.25,72.75,68.75
22,35.5,47.25,35.5
23,11.75,13.75,13.5
