B;G;R
28.1111;36.7778;54.4444
74.8889;84.2222;141.889
90.5556;69.3333;54.3333
26.2222;51.5556;45.3333
109.333;75.7778;90.6667
110.444;124.111;66.7778
8.11111;70.5556;148.667
101;49;38.1111
43.7778;39.4444;143.889
41.3333;28.5556;54.5556
30;120.333;100
1.11111;95.1111;146.222
77.4444;31.7778;15.4444
42.1111;84.1111;41
28.7778;22.1111;131.778
3.11111;126;161.222
83.3333;44.2222;152.889
111;73;20.1111
162.667;171.111;181
130.667;136.333;144.333
95.3333;104.222;108.778
57.5556;67.4444;68.2222
31.3333;35.6667;34.5556
12.5556;14.1111;13.7778
