B;G;R
40.5556;53.6667;79.7778
103.444;108.889;175.556
119.556;95.1111;76.2222
31.6667;74.8889;63.8889
140.556;103.889;120.222
142.222;156.889;91.1111
8.44444;95;182.889
134.556;69.1111;53.6667
60.3333;56.1111;180.111
63.4444;39.8889;80.1111
42.7778;151.667;128.556
2.33333;123.333;179.556
110.111;47.8889;22.2222
58.1111;118.222;57
37.6667;32;168.333
13.5556;161.333;194.444
113.111;61.6667;186.889
144.111;103.778;28.5556
199.667;206.778;215.333
164.556;170.667;179.778
126.778;132.667;139
84.6667;92;95.6667
49.8889;53.7778;54
21.2222;23;22
