B;G;R
38.6667;54.4444;89.4444
103.111;109.889;177.889
121.333;95;76.6667
29.8889;75;65.6667
140.556;103.333;120.889
142.667;156.111;92.1111
7.88889;95.2222;184.222
137.111;69.3333;54.2222
60.6667;57;182
64.8889;40.2222;82.5556
43;153.889;132.333
0.888889;125.444;181.111
111.667;47.4444;21.3333
58.1111;117.556;58.7778
40.1111;32.1111;170.889
14.2222;161.222;195.444
113.778;63;190.556
145.889;104;28.2222
198.667;207.667;216.333
163.556;171.333;181.111
128.556;133;140.556
84.7778;91.5556;97.6667
49.6667;54.1111;54.3333
19.3333;22.6667;21.8889
