,B,G,R
0,41.5,57.25,96.5
1,105.5,113.5,183.75
2,128.0,103.0,82.25
3,38.0,79.5,69.5
4,139.75,107.75,125.75
5,147.0,162.0,93.0
6,8.25,97.5,187.0
7,136.5,70.25,55.5
8,65.0,60.75,184.0
9,74.0,44.75,87.25
10,38.75,159.5,137.25
11,0.75,128.5,181.75
12,117.0,49.75,21.25
13,58.0,122.5,60.0
14,41.25,34.5,172.75
15,21.5,170.0,196.25
16,111.25,77.0,198.0
17,148.25,106.75,30.5
18,203.0,210.5,219.0
19,167.75,175.75,186.75
20,132.5,139.5,145.5
21,86.75,99.25,99.0
22,60.5,59.25,73.0
23,22.0,24.5,24.0
