B;G;R
38.3333;53.6667;87.1111
103.111;111.333;178.333
122.444;97.1111;77.5556
31.4444;76.1111;64.8889
141.222;104.444;121.667
143.889;159.778;92.6667
5.33333;95.1111;181.778
136.333;70.6667;53.6667
59.1111;56.7778;180.111
64.4444;40.1111;81.8889
44.2222;151.444;129.111
1.22222;125.444;180.222
113.333;49;22.2222
59.4444;119.778;59.8889
40.8889;31.8889;169
14.2222;162.556;194.333
112.111;62.6667;188.444
141.444;103;26.4444
199.889;207.444;215.889
165.556;172.778;181.222
127.111;134;140
84.8889;93;95.7778
48.8889;55.2222;54.4444
19.1111;22;21.5556
