B;G;R
43.2222;54.7778;83.1111
103.556;110.333;178.778
123.444;96.6667;78.5556
35;75.7778;67.8889
143.444;105.222;123.667
145.444;160.222;93.1111
6.77778;96.8889;185.111
137.222;69.8889;54.8889
62.2222;58.4444;183.111
65.1111;40.7778;83.7778
42.2222;155.111;132
1.11111;125.778;182.222
114.444;48.6667;21.6667
59.1111;119.556;59.3333
40.8889;33.5556;172.444
15.5556;164.111;197.778
113.556;62.7778;190.667
147.333;106.667;28.6667
201.889;209.667;217.889
168.222;173.222;184.222
129.556;135.333;142.111
85.8889;94.7778;98.7778
51.5556;54.8889;56.5556
21;23.7778;22.7778
