B;G;R
38.6667;55.1111;93.7778
103.333;109.778;180
123.556;97.6667;79.2222
33.4444;75.3333;67
140.556;102.444;121.333
141.889;157.778;93.6667
10;97.2222;185.444
136.111;71;55.2222
61.6667;57.1111;182.111
64.6667;40.2222;83.2222
43.2222;153.778;132.111
1.44444;123.111;181.333
112.333;48;20.5556
60.1111;119.444;59.8889
40.7778;32.5556;172.111
13.4444;161.222;195.444
114.778;62.3333;188.889
144.778;104.556;29.2222
200.333;208.333;217.778
166.778;173.333;183.667
129.444;133.778;141.667
85.4444;92.3333;97.3333
51.1111;53.8889;54.8889
21.1111;22.7778;22.4444
