B;G;R
28.2222;37.4444;57.4444
75.6667;84;141.222
87.3333;68.8889;53.5556
26.1111;51.7778;45.5556
110.889;76;92.2222
111.333;124.222;66.5556
8.66667;70;148.222
100;49.1111;38.4444
41.6667;39.3333;144.778
42.2222;28.8889;54.5556
29.2222;116.333;99.5556
1.11111;94.6667;147.556
76;32.7778;15.7778
41.3333;86.2222;42.7778
29.1111;21.7778;132.222
2.11111;124;160
81.6667;43.3333;151.444
109.111;71.3333;21.2222
163.778;169.222;180.111
131;135.778;144.444
98;103.889;110.667
58.5556;67.6667;68.3333
32.3333;36.3333;35.2222
12.7778;14.5556;14.1111
