B;G;R
27.6667;34.7778;45.1111
59.6667;67.3333;112
68.2222;56.8889;47.4444
26.1111;50.5556;45.3333
111;77.2222;92.1111
114.222;126.778;66.2222
7.77778;70.6667;150.222
102.889;49.6667;38.1111
43.6667;39.2222;146.667
43.8889;29.6667;55.8889
29.7778;119.889;99.3333
2.11111;96.3333;149
79.2222;33.2222;15.6667
41.8889;87.6667;42
28.3333;22.5556;132.778
3.66667;126.333;161.556
84.4444;43.2222;153.333
111.111;73.3333;20.3333
166.111;171.889;182.222
131.444;138.111;145.444
97.6667;106.556;110.111
60.3333;68.6667;70.5556
33.3333;37.7778;36.7778
13.1111;14.6667;13.7778
