,B,G,R
0,40.5,57.25,95.25
1,105.25,112.0,180.75
2,127.5,98.0,78.25
3,41.0,77.75,64.25
4,147.75,115.0,125.5
5,143.75,158.5,92.0
6,5.0,96.0,184.0
7,136.0,70.0,54.75
8,60.75,59.5,181.0
9,71.0,41.75,89.25
10,50.25,142.25,131.75
11,0.75,125.25,180.75
12,113.5,47.5,20.5
13,59.5,120.0,59.0
14,40.5,33.75,169.75
15,21.25,159.0,193.75
16,111.5,73.75,186.5
17,144.75,104.75,29.5
18,200.25,208.0,216.25
19,164.25,172.0,182.25
20,128.0,135.25,141.25
21,85.25,93.75,93.25
22,45.25,63.5,64.0
23,21.75,22.5,22.0
