B;G;R
29.6667;36.4444;50.5556
65.4444;72.5556;119.778
73.3333;59.4444;47.8889
26.2222;51.2222;44.3333
108.111;75.5556;91.4444
111.889;124;66.7778
7.33333;70.1111;148
100.111;49.2222;37.4444
43.8889;38.3333;145
42.4444;29.1111;54.5556
27.4444;119.444;100.333
0.888889;96;146.556
76.4444;32.7778;16.3333
41;83.7778;39.7778
28.5556;22.7778;132.667
2.66667;127.333;160.222
84;43.2222;152.444
110.889;74;21.8889
163;171.556;181.222
130.333;137.333;144.889
98;106.222;110.889
59.7778;67;69
32.5556;36.4444;36.2222
12.8889;13.8889;13.7778
