,B,G,R
0,40.5,55.25,93.5
1,102.5,110.75,178.75
2,123.5,97.25,79.75
3,42.25,81.75,69.25
4,135.0,110.75,129.5
5,142.5,152.5,88.75
6,4.75,94.75,182.0
7,134.75,69.25,52.75
8,57.75,56.0,179.25
9,68.25,40.25,84.5
10,46.75,153.75,122.25
11,1.25,123.5,179.0
12,110.25,47.25,20.25
13,56.25,118.75,57.0
14,39.5,32.25,169.25
15,23.0,155.0,185.0
16,111.5,67.0,180.5
17,141.0,102.25,28.75
18,200.5,207.0,216.0
19,163.75,171.25,179.0
20,128.5,133.5,139.5
21,90.0,100.0,99.0
22,48.75,54.25,65.0
23,18.75,22.25,21.5
