B;G;R
29.3333;38.2222;60.3333
78;84.1111;143.889
89.1111;70.8889;54.6667
21.6667;51.7778;44
110.556;77.1111;92.5556
112;125.111;65.7778
9.88889;71.6667;147.778
101.444;49.7778;38.6667
44;38.4444;145
43.3333;28.7778;54.3333
29.1111;119.333;100.111
2.88889;95;147.778
76;33;16.1111
38.8889;87;41.8889
29.7778;22.3333;132.222
3;125.556;161.333
82.6667;43.3333;151.222
113.556;74.8889;21.4444
162.333;170.333;180.111
128.111;136.778;143.333
97.4444;104.889;109.778
59.4444;68;69.1111
34.4444;37.1111;36.1111
13.3333;14.6667;14
