,B,G,R
0,29.0,39.75,64.5
1,76.75,85.5,144.75
2,91.25,71.25,56.0
3,33.0,60.0,47.5
4,106.25,85.75,91.25
5,110.75,122.75,64.75
6,6.75,69.25,149.5
7,102.25,49.75,39.25
8,41.75,41.25,144.5
9,40.0,36.0,61.5
10,41.0,113.25,112.5
11,0.25,95.0,145.25
12,75.5,32.75,16.5
13,40.75,86.75,41.75
14,30.75,22.5,133.0
15,10.0,126.25,162.75
16,94.0,43.5,156.0
17,111.75,72.75,22.0
18,163.0,172.75,183.0
19,129.25,135.5,144.75
20,99.75,106.25,111.75
21,56.0,67.25,69.0
22,44.25,47.25,45.75
23,13.0,14.5,13.5
