B;G;R
37.6667;56;94.4444
103.778;109.222;178.333
123.667;97.6667;78.6667
32.5556;75.6667;65.8889
142.222;103.889;121.556
144;158.667;92.3333
7.11111;96.1111;183.222
136.444;70.5556;54.2222
60.6667;57.7778;182.667
63.5556;39.4444;83.1111
44.5556;152.556;131.111
2.33333;124.444;181.667
112.111;47.8889;20.4444
58.8889;119.556;58.2222
39.7778;31.5556;169.444
14.8889;162;195.222
115.333;63.1111;189.556
145.111;104.556;28.7778
201.556;207.778;216.333
167.111;173;181.889
127;134.444;140.889
85.1111;92.2222;97.6667
49;54.8889;55.8889
19.7778;22.3333;21.4444
