B;G;R
44.3333;58.5556;95.3333
113;116.111;181.222
127;101.111;79.4444
40.6667;79.8889;69.1111
144;107.667;123.333
151.222;164.111;95.8889
24.8889;106.556;189.778
140.333;74;56.6667
67.6667;62.2222;185.778
69.6667;42.5556;84.8889
58.8889;158.556;137
6.33333;131.333;184.778
119.333;51;22.3333
69.4444;124;65
43.5556;36.5556;172.667
25.2222;168.667;201.111
119.333;70;192.222
153;108.222;32
207.111;212.333;220
174.667;179.444;187.111
133.333;141.111;144.556
92.4444;99.1111;100.667
57;59.5556;58.5556
21.2222;24.8889;24
