B;G;R
28.5556;38.1111;54.3333
81.2222;87.6667;144.111
87.8889;69.6667;54.1111
26.7778;53.4444;47.5556
112.111;77.8889;92.4444
114.222;128;66.4444
7.44444;72.5556;150.778
103.556;50.8889;40
43.3333;40.3333;147
45.4444;29.4444;55.3333
27.4444;122.111;101.556
1.66667;97.7778;148.556
80.3333;32.8889;16.1111
42.8889;87;42.6667
31.1111;22.7778;134.667
4.33333;129.111;163
85.8889;44.8889;153.778
114.778;76.8889;21
165;172.889;182.667
132.778;140.667;146.889
102.333;107.667;112.889
59.6667;68.7778;69.3333
33.8889;36.8889;36.7778
12.4444;14.1111;13.3333
