,B,G,R
0,38.5,57.25,95.5
1,106.25,112.75,182.0
2,123.0,99.25,81.5
3,40.0,78.0,65.25
4,136.0,109.25,118.0
5,145.25,156.5,91.25
6,6.25,96.75,184.25
7,137.0,71.75,55.5
8,62.5,57.75,182.5
9,72.25,41.25,85.75
10,49.0,144.0,126.75
11,0.75,125.75,182.0
12,113.25,48.5,21.0
13,60.0,122.5,58.5
14,40.5,35.0,170.0
15,23.75,161.5,194.5
16,118.0,66.5,196.25
17,143.5,102.0,28.0
18,203.5,209.75,218.5
19,167.75,172.0,182.5
20,127.25,135.75,142.5
21,85.0,99.75,102.75
22,52.5,71.0,62.5
23,20.75,23.5,22.75
