B;G;R
28.4444;38.2222;57.7778
75.6667;83.1111;139.444
87.8889;68.5556;52.6667
23.5556;52.1111;45.3333
108.889;77;90.5556
112.333;125.667;65.2222
7.66667;69.4444;148
100;50.1111;38.4444
43.8889;38.8889;144.889
42.7778;28.8889;54.3333
27.4444;120.889;100.778
2.22222;94.1111;146.778
78.1111;33;16.1111
41.4444;86.7778;42.7778
29.7778;24;133.333
2.66667;125.111;159.667
84.2222;44.4444;152
112.556;73.8889;20.1111
161.667;172.556;181.556
131.444;137.556;144.444
95.3333;106.333;108.778
59.1111;67;67.8889
32.4444;36.6667;35.5556
13.2222;14;13.5556
