B;G;R
43.5556;48.8889;59.1111
70.6667;77.2222;109.889
66.8889;62.4444;60.1111
39.8889;60.8889;59.7778
118.111;90.5556;104.333
138.333;154.333;90.1111
5.88889;94.1111;180.889
135;69.7778;54.7778
61.3333;58.1111;182.111
67.1111;40;82.1111
43.7778;151.889;130.222
2.22222;125.111;182.111
109.889;47.4444;20.6667
56.4444;120;59
40;32;170.222
16.6667;162.778;196.778
113.667;63.2222;190.333
144;104.444;29
198.778;207.556;216.111
165.333;172.222;181
127;135.556;141.667
83;93.8889;97.1111
49.5556;55.5556;56.1111
21.4444;23.2222;22.6667
