,B,G,R
0,29.5,40.5,64.5
1,77.75,86.75,145.25
2,92.0,71.25,56.5
3,29.0,56.25,49.5
4,115.25,81.75,105.0
5,110.0,123.0,65.75
6,5.5,70.75,147.25
7,101.5,47.75,37.75
8,44.25,40.0,143.5
9,43.0,28.75,56.25
10,46.0,117.25,94.0
11,0.25,96.0,146.5
12,76.5,32.0,15.25
13,41.5,85.75,42.0
14,28.5,23.5,132.25
15,7.25,128.5,161.0
16,86.75,47.25,143.0
17,110.25,73.5,21.0
18,163.5,170.25,180.5
19,130.75,136.0,143.5
20,99.25,105.0,109.75
21,59.75,66.25,66.5
22,35.75,53.0,48.75
23,14.25,15.25,14.75
