,B,G,R
0,28.5,39.5,64.0
1,77.5,86.5,145.75
2,93.25,70.5,57.0
3,33.25,56.0,52.5
4,106.5,69.75,90.5
5,113.5,126.75,67.25
6,10.25,71.0,150.75
7,100.75,48.5,38.0
8,45.5,41.25,145.0
9,49.0,37.5,57.0
10,45.0,130.5,101.25
11,1.0,94.5,148.5
12,77.5,32.5,16.75
13,40.25,88.5,41.75
14,31.5,25.0,133.25
15,11.75,124.25,155.0
16,78.0,43.0,153.5
17,113.25,73.75,21.5
18,165.25,172.5,182.5
19,134.0,138.25,146.25
20,97.25,106.25,109.75
21,63.5,72.0,72.75
22,33.0,33.5,33.25
23,12.25,14.0,14.0
