B;G;R
40.7778;53;87.8889
104.778;110.333;177.667
121.556;96.5556;77.8889
32.6667;75.4444;65.2222
144.444;103.444;120.889
143.667;158;90.7778
6.88889;93.7778;181.778
135.444;69.4444;54
62.2222;57.2222;181.667
65.7778;39.7778;82.6667
41.4444;149.556;128.444
2.66667;124.667;182.333
113.444;48;21.4444
59.4444;119.111;60
40.3333;31.2222;169.667
15.3333;162.889;195.222
114.889;61.7778;188.667
142.889;102.889;27.6667
202.222;207.667;216.111
166.889;172.111;182.111
130.778;135.444;140.556
85.5556;94.2222;96.6667
49.7778;55.2222;55.2222
21.3333;23.2222;22.3333
