,B,G,R
0,27.75,37.75,63.25
1,76.0,84.25,144.25
2,89.25,70.5,57.0
3,34.0,51.75,46.0
4,114.5,91.25,94.75
5,114.0,125.75,67.25
6,8.25,70.25,148.0
7,104.25,49.5,38.75
8,42.5,40.25,143.75
9,41.25,36.0,55.5
10,43.75,123.0,91.0
11,0.75,96.25,146.0
12,78.5,33.0,16.0
13,40.25,88.0,40.75
14,31.75,23.0,134.0
15,13.5,128.75,162.25
16,98.0,57.25,148.25
17,111.25,71.75,21.0
18,163.0,172.75,182.25
19,129.75,138.5,143.75
20,99.0,107.0,109.75
21,59.25,65.0,67.25
22,42.25,39.25,42.0
23,13.75,14.75,14.5
