,B,G,R
0,47.25,60.75,97.25
1,109.0,117.25,183.25
2,130.5,103.75,83.25
3,40.75,81.0,71.75
4,141.25,120.5,128.0
5,154.5,163.25,95.25
6,11.5,101.25,187.25
7,139.5,74.0,56.0
8,69.25,63.75,183.75
9,72.5,44.5,84.25
10,63.25,152.75,133.5
11,2.5,130.5,183.0
12,116.0,49.5,22.5
13,68.0,123.5,61.5
14,43.5,36.25,171.75
15,34.5,167.0,198.75
16,127.75,62.75,178.75
17,152.5,108.0,31.0
18,211.0,212.5,220.75
19,176.0,180.75,186.5
20,134.0,140.0,142.0
21,93.25,96.0,99.25
22,50.5,63.5,69.25
23,22.75,23.75,22.75
