B;G;R
41.6667;52.4444;78
100.222;107;170.556
116;92.6667;75.6667
34.3333;75;65.7778
141.667;103.111;121.667
143.667;158;92.7778
5.66667;95.5556;184
135.778;69.4444;54.6667
59;57.5556;182
65;40;83.6667
41.2222;150.667;129.111
2.77778;124.111;181.444
112.111;48;20.4444
60.7778;120.333;60
36.2222;32.1111;169.444
14.8889;163.222;196.444
113.778;62;190.222
144.556;103;28.7778
200.778;207.333;216.556
165.667;171.444;181.667
130;134.111;141.333
85;93.4444;97.3333
51.5556;55.7778;56.1111
21.4444;22.7778;21.8889
