,B,G,R
0,41.0,55.5,93.25
1,106.75,112.5,179.75
2,125.0,99.25,79.5
3,41.25,79.25,65.5
4,146.0,111.0,124.75
5,142.75,157.5,89.25
6,6.25,94.75,182.0
7,134.5,67.75,51.75
8,61.0,58.5,180.75
9,66.75,38.25,78.0
10,53.5,155.0,121.25
11,1.5,124.5,180.75
12,111.5,48.25,21.25
13,54.75,118.5,57.25
14,39.25,32.75,168.75
15,17.0,166.25,196.5
16,123.25,60.5,185.75
17,144.25,104.0,30.0
18,199.25,208.25,215.25
19,165.75,173.0,181.0
20,128.5,135.5,140.5
21,86.5,92.75,101.25
22,56.5,53.75,65.75
23,20.5,22.25,21.5
